queue_id,service_id,called,letter,position,created_date,created_time,updated_date,updated_time
1519,2,1,NR,0,2024-02-06,11:30:09,2024-02-06,13:41:37
1520,1,1,W,0,2024-02-06,11:30:24,2024-02-06,12:19:03
1521,1,1,W,0,2024-02-06,11:30:45,2024-02-06,12:31:16
1522,1,1,W,0,2024-02-06,11:36:11,2024-02-06,12:53:46
1523,2,1,NR,0,2024-02-06,11:37:26,2024-02-06,13:54:41
1524,2,1,NR,0,2024-02-06,11:38:02,2024-02-06,14:16:22
1525,2,1,NR,0,2024-02-06,11:38:22,2024-02-06,14:19:19
1526,1,1,W,0,2024-02-06,11:38:48,2024-02-06,12:59:09
1527,2,1,NR,0,2024-02-06,11:41:07,2024-02-06,14:23:45
1528,1,1,W,0,2024-02-06,11:41:57,2024-02-06,13:06:21
1529,1,1,W,0,2024-02-06,11:43:07,2024-02-06,13:11:43
1530,1,1,W,0,2024-02-06,11:43:32,2024-02-06,13:15:23
1531,1,1,W,0,2024-02-06,11:47:05,2024-02-06,13:17:08
1532,2,1,NR,0,2024-02-06,11:50:27,2024-02-06,14:36:39
1533,2,1,NR,0,2024-02-06,11:51:12,2024-02-06,14:43:52
1534,2,1,NR,0,2024-02-06,11:54:45,2024-02-06,14:52:31
1535,3,1,T,0,2024-02-06,11:57:38,2024-02-06,12:07:34
1536,3,1,T,0,2024-02-06,12:03:37,2024-02-06,13:19:39
1537,3,1,T,0,2024-02-06,12:03:49,2024-02-06,13:51:07
1538,1,1,W,0,2024-02-06,12:03:55,2024-02-06,13:18:50
1539,3,1,T,0,2024-02-06,12:04:21,2024-02-06,14:02:55
1540,2,1,NR,0,2024-02-06,12:05:47,2024-02-06,14:54:35
1541,2,1,NR,0,2024-02-06,12:05:58,2024-02-06,14:56:43
1542,2,1,NR,0,2024-02-06,12:06:09,2024-02-06,15:01:13
1543,2,1,NR,0,2024-02-06,12:06:19,2024-02-06,15:11:04
1544,2,1,NR,0,2024-02-06,12:08:31,2024-02-06,15:11:07
1545,2,1,NR,0,2024-02-06,12:09:09,2024-02-06,15:11:40
1546,3,1,T,0,2024-02-06,12:09:15,2024-02-06,14:21:59
1547,3,1,T,0,2024-02-06,12:09:21,2024-02-06,14:33:54
1548,3,1,T,0,2024-02-06,12:09:46,2024-02-06,14:54:01
